ad_id,spend,impressions,clicks,installs,trials,adj_trials,init_purch,trial_converts,campaign_name,ad_name,format,category,concept,creator_name,first_date,last_date,active_days,bucket,clean_name,c1,ipm,tpi,cpft,ctr,meta_paid_obs,ssot_trials,ssot_paid,ssot_ltv,af_installs,af_trials,af_trials_annual_reg,af_trials_annual_plus,af_trials_monthly,sp,phase,p1_point,p2_point,ltv_cac,ltv_cac_lo,ltv_cac_hi,days,signups,cpi,cps,EI,spend_per_day,SI,SP2,on_target,p1,sp2_winner,sp2_phase
120236574936400167,6669.08,1120303,19928,435,108,187.08,26,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:video_c3:influencer_c4:valueprop_c5:ongoing_c6:harryspeaks__c7:speak_company_c8:1208,video,valueprop,speak_company,harryspeaks_,2026-06-01,2026-06-29,29.0,Winning,influencer – harryspeaks,na_c2,0.3882878114224455,0.0964024911117795,61.75074074074074,0.0177880448414402,26.0,136.0,54.93,5674.8,931.0,203.0,161.0,26.0,2.0,2.901313465718351,Phase 1 Winner,True,False,1.365,0.961,1.884,29,216.0,15.331218390804597,30.87537037037037,0.9991937527709257,229.96827586206896,4.0,3.996775011083703,True,True,False,Watch
120239549733890167,0.56,142,9,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,rw_s22a2_singletestimonial_pm_zh-en_1x1_tw_testimonial_effective,,,,,2026-09-15,2026-09-15,1.0,Winning,rw_s22a2_singletestimonial_pm_zh-en_1x1_tw_testimonial_effective,Untagged,0.0,0.0,,0.0633802816901408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2607500852918331,Pause,False,False,0.0,0.0,0.0,1,0.0,,,,0.56,0.25,,False,False,False,No installs yet
120240275100650167,34.78,11197,122,2,0,0.0,1,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:m19_c2:video_c3:motion_c4:testimonial_c5:ongoing_c6:na_c7:motiontestimonial_c8:jpwinning-textandwave,video,testimonial,motiontestimonial,na,2026-06-01,2026-06-10,10.0,Winning,motion – na – motiontestimonial,m19_c2,0.1786192730195588,0.0,,0.010895775654193,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.5395101592117078,Pause,False,False,0.0,0.0,0.0,10,1.0,17.39,34.78,0.8809003817400044,3.478,0.25,0.2202250954350011,False,False,False,Watch
120242147246810167,7077.57,1099687,17325,588,150,251.87,43,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:video_c3:influencer_c4:productdemo_c5:ongoing_c6:morning.jason_c7:influencer_c8:original-reels,video,productdemo,influencer,morning.jason,2026-06-01,2026-06-29,29.0,Winning,influencer – morning.jason – influencer,na_c2,0.5346976003171812,0.1364024490605054,47.1838,0.0157544828664883,43.0,193.0,77.44,7998.9,1088.0,300.0,235.0,42.0,13.0,3.21543921868891,Phase 2 Winner,True,True,2.222,1.651,2.908,29,339.0,12.036683673469387,20.877787610619468,1.2726809189331512,244.05413793103446,4.0,5.090723675732605,True,True,True,Scalable winner
120242508326330167,50.14,17935,566,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!57200sentences-travel,,,,,2026-06-01,2026-06-15,14.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0315584053526623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5869485475935936,Mid-Tier,False,False,0.0,0.0,0.0,14,0.0,,,,3.5814285714285714,0.25,,False,False,False,No installs yet
120242508965130167,71.46000000000001,20016,772,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!englishinterview,,,,,2026-06-01,2026-06-15,15.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0385691446842526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7940716612390797,Mid-Tier,False,False,0.0,0.0,0.0,15,0.0,,,,4.764,0.25,,False,False,False,No installs yet
120242510079090167,1.06,204,0,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!s45_c2!image_c3!generic_c4!valueprop_c5!ongoing_c6!na_c7!aspiration_c8!57200sentences-offer,,,,,2026-09-15,2026-09-15,1.0,Winning,generic – na – aspiration,s45_c2,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Pause,False,False,0.0,0.0,0.0,1,0.0,,,,1.06,0.25,,False,False,False,No installs yet
120243701212520167,1104.0,182777,2040,48,11,19.71,6,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:ugc6_c2:video_c3:ugc_c4:problemsolution_c5:ongoing_c6:qing_c7:englishintrovert_c8:na,video,problemsolution,englishintrovert,qing,2026-06-01,2026-06-24,24.0,Winning,ugc – qing – englishintrovert,ugc6_c2,0.2626150992739787,0.0601826269169534,100.36363636363636,0.011161141719144,6.0,13.0,5.24,541.7,122.0,24.0,15.0,4.0,2.0,2.857018194387356,Phase 1 Winner,True,False,0.586,0.218,1.122,24,29.0,23.0,38.06896551724138,0.6660372886286382,46.0,0.9333865939267009,0.6216702762612596,False,True,False,Pause
120245092958860167,13556.09,2147984,33912,698,256,426.15,52,10.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1!na_c2!video_c3!influencer_c4!productdemo_c5!ongoing_c6!techervincent_c7!valueprop_c8!og-video,,,,,2026-06-01,2026-07-29,59.0,Winning,influencer – techervincent – valueprop,na_c2,0.3249558655930398,0.1191815209051836,52.9534765625,0.0157878270974085,62.0,258.0,102.26,10466.8,1522.0,428.0,328.0,72.0,14.0,3.1488272807015703,Phase 2 Winner,True,True,1.848,1.425,2.352,59,432.0,19.421332378223497,31.379837962962963,0.7887645059633093,229.7642372881356,4.0,3.155058023853237,True,True,False,Pause
120245149598320167,0.31,97,4,0,0,0.0,0,0.0,tw_meta_standard_ios_tw-en_pros_trial_ongoing_winning,c1:na_c2:image_c3:influencer_c4:valueprop_c5:ongoing_c6:tantooyu_c7:valueprop_c8:og-post-keep-speaking-winning,image,valueprop,valueprop,tantooyu,2026-06-01,2026-06-02,2.0,Winning,influencer – tantooyu – valueprop,na_c2,0.0,0.0,,0.0412371134020618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.811794400810634,Pause,False,False,0.0,0.0,0.0,2,0.0,,,,0.155,0.25,,False,False,False,No installs yet
